iter	Passed	Remaining
0	153	168706
1	315	173541
2	481	176361
3	656	180086
4	829	181811
5	1011	184626
6	1176	183876
7	1333	182228
8	1478	179359
9	1624	177181
10	1772	175659
11	1929	175069
12	2094	175283
13	2249	174655
14	2397	173544
15	2558	173511
16	2713	173039
17	2873	172867
18	3072	174947
19	3227	174450
20	3433	176565
21	3610	177070
22	3759	176197
23	3907	175364
24	4067	175084
25	4227	174799
26	4373	173971
27	4515	173041
28	4678	172935
29	4824	172250
30	4984	172036
31	5129	171370
32	5286	171099
33	5433	170503
34	5584	170078
35	5717	169156
36	5868	168769
37	6021	168429
38	6160	167757
39	6308	167323
40	6444	166601
41	6583	165995
42	6721	165387
43	6868	164995
44	7016	164650
45	7161	164253
46	7312	163986
47	7459	163633
48	7595	163079
49	7740	162708
50	7880	162250
51	8027	161945
52	8168	161526
53	8317	161264
54	8459	160892
55	8593	160355
56	8721	159735
57	8849	159147
58	8978	158574
59	9113	158114
60	9249	157699
61	9445	158294
62	9596	158121
63	9725	157590
64	9852	157037
65	9990	156667
66	10120	156189
67	10250	155718
68	10383	155303
69	10515	154872
70	10646	154445
71	10778	154044
72	10916	153725
73	11052	153397
74	11187	153041
75	11323	152720
76	11473	152588
77	11627	152501
78	11784	152447
79	11917	152097
80	12058	151847
81	12206	151687
82	12350	151485
83	12490	151220
84	12635	151035
85	12784	150881
86	12938	150801
87	13082	150603
88	13233	150478
89	13367	150164
90	13498	149820
91	13631	149500
92	13775	149307
93	13923	149164
94	14080	149101
95	14218	148846
96	14346	148494
97	14484	148242
98	14620	147975
99	14753	147686
100	14888	147413
101	15022	147130
102	15157	146870
103	15316	146827
104	15476	146804
105	15605	146480
106	15734	146166
107	15884	146045
108	16025	145844
109	16169	145670
110	16316	145522
111	16453	145290
112	16586	145022
113	16716	144732
114	16854	144505
115	16988	144258
116	17120	143985
117	17250	143709
118	17382	143441
119	17515	143187
120	17660	143035
121	17809	142917
122	17945	142686
123	18074	142409
124	18206	142153
125	18352	142014
126	18491	141814
127	18628	141609
128	18773	141455
129	18907	141224
130	19040	140988
131	19195	140915
132	19346	140807
133	19478	140565
134	19613	140343
135	19743	140092
136	19893	139980
137	20035	139810
138	20174	139628
139	20314	139445
140	20454	139267
141	20588	139043
142	20719	138806
143	20858	138622
144	20990	138393
145	21120	138148
146	21249	137903
147	21381	137680
148	21514	137458
149	21648	137251
150	21780	137031
151	21917	136839
152	22048	136614
153	22188	136443
154	22322	136236
155	22452	136010
156	22581	135774
157	22709	135539
158	22835	135288
159	22982	135167
160	23111	134933
161	23249	134762
162	23388	134590
163	23521	134386
164	23649	134156
165	23779	133939
166	23912	133738
167	24049	133558
168	24179	133346
169	24307	133120
170	24441	132927
171	24622	132992
172	24806	133068
173	24935	132846
174	25062	132618
175	25193	132407
176	25323	132197
177	25471	132077
178	25650	132119
179	25827	132149
180	25981	132061
181	26107	131826
182	26247	131670
183	26381	131478
184	26513	131278
185	26641	131060
186	26766	130825
187	26902	130648
188	27062	130589
189	27214	130485
190	27345	130282
191	27480	130102
192	27614	129916
193	27769	129828
194	27898	129621
195	28029	129422
196	28160	129225
197	28292	129033
198	28424	128838
199	28554	128639
200	28685	128442
201	28820	128266
202	28955	128090
203	29095	127932
204	29231	127762
205	29368	127595
206	29504	127424
207	29630	127213
208	29768	127051
209	29909	126901
210	30046	126737
211	30181	126562
212	30317	126394
213	30457	126241
214	30595	126081
215	30726	125892
216	30861	125722
217	30998	125556
218	31134	125389
219	31291	125308
220	31467	125302
221	31604	125135
222	31757	125036
223	31889	124852
224	32028	124697
225	32175	124573
226	32307	124392
227	32437	124201
228	32575	124042
229	32702	123843
230	32839	123683
231	32983	123544
232	33130	123421
233	33267	123261
234	33397	123072
235	33545	122953
236	33704	122872
237	33855	122763
238	34022	122708
239	34172	122594
240	34326	122493
241	34486	122412
242	34657	122370
243	34792	122200
244	34924	122023
245	35055	121837
246	35198	121698
247	35348	121583
248	35489	121434
249	35659	121385
250	35818	121296
251	35961	121155
252	36118	121060
253	36266	120935
254	36428	120857
255	36592	120785
256	36739	120652
257	36894	120551
258	37061	120484
259	37214	120373
260	37348	120202
261	37482	120030
262	37621	119872
263	37754	119698
264	37886	119521
265	38017	119339
266	38194	119303
267	38330	119140
268	38463	118965
269	38596	118790
270	38735	118637
271	38871	118471
272	39003	118297
273	39133	118113
274	39275	117969
275	39408	117796
276	39537	117614
277	39667	117432
278	39813	117300
279	39954	117152
280	40105	117033
281	40247	116889
282	40386	116736
283	40527	116587
284	40673	116455
285	40824	116335
286	40960	116174
287	41099	116019
288	41244	115884
289	41376	115710
290	41509	115541
291	41653	115404
292	41843	115391
293	42006	115302
294	42172	115223
295	42322	115100
296	42483	115005
297	42667	114973
298	42838	114903
299	42994	114794
300	43141	114660
301	43281	114509
302	43440	114406
303	43597	114300
304	43748	114176
305	43900	114054
306	44048	113924
307	44195	113787
308	44339	113647
309	44487	113514
310	44633	113377
311	44777	113236
312	44918	113084
313	45057	112930
314	45226	112850
315	45395	112770
316	45554	112664
317	45733	112607
318	45903	112527
319	46064	112427
320	46237	112353
